risk_threshold,malicious_ratio,repetitions,no_defense_accuracy,majority_accuracy,single_verifier_accuracy,proposed_accuracy,source_localization_rate,correction_rate
0.35,0.0,500,0.736,0.904,0.746,0.964,1.0,0.272
0.35,0.14,500,0.614,0.798,0.722,0.952,1.0,0.432
0.35,0.29,500,0.572,0.694,0.762,0.932,1.0,0.472
0.35,0.43,500,0.444,0.446,0.766,0.918,1.0,0.666
0.45,0.0,500,0.722,0.888,0.756,0.958,1.0,0.28
0.45,0.14,500,0.65,0.806,0.726,0.942,1.0,0.36
0.45,0.29,500,0.55,0.678,0.754,0.954,1.0,0.524
0.45,0.43,500,0.462,0.42,0.734,0.912,1.0,0.668
0.55,0.0,500,0.74,0.874,0.726,0.964,1.0,0.288
0.55,0.14,500,0.718,0.798,0.758,0.954,1.0,0.33
0.55,0.29,500,0.576,0.656,0.718,0.91,1.0,0.484
0.55,0.43,500,0.456,0.408,0.764,0.924,1.0,0.672
0.65,0.0,500,0.708,0.85,0.774,0.946,1.0,0.294
0.65,0.14,500,0.642,0.794,0.744,0.94,1.0,0.392
0.65,0.29,500,0.528,0.66,0.764,0.922,1.0,0.524
0.65,0.43,500,0.46,0.392,0.752,0.916,1.0,0.692
0.75,0.0,500,0.77,0.892,0.762,0.968,1.0,0.254
0.75,0.14,500,0.656,0.774,0.75,0.93,0.73,0.366
0.75,0.29,500,0.552,0.674,0.756,0.938,0.91,0.51
0.75,0.43,500,0.422,0.396,0.708,0.864,0.97,0.648
